month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
1,사가정역,하차,887,4763,4550,50350,108251,194164,20610.0,61637.0,21613.0,0.0,10.0,8.0,466843.0
1,사당역,승차,9355,20981,10788,553660,493560,558155,71736.0,177255.0,59266.0,33.0,234.0,119.0,1955142.0
1,사당역,하차,3756,19529,19199,299339,556644,771445,68238.0,189737.0,44366.0,22.0,213.0,129.0,1972617.0
1,산성역,승차,1734,3569,776,86457,36826,13630,16718.0,16072.0,2188.0,0.0,8.0,0.0,177978.0
1,산성역,하차,347,2822,3647,12815,35831,87612,6982.0,20945.0,9660.0,3.0,3.0,2.0,180669.0
1,삼각지역,승차,1014,5155,1547,64601,126582,155652,7970.0,28224.0,10726.0,94.0,738.0,173.0,402476.0
1,삼각지역,하차,1788,4212,1687,119014,124865,109198,12770.0,26363.0,5687.0,120.0,671.0,190.0,406565.0
1,삼성역,승차,1853,22065,17050,71597,554213,759300,14466.0,81005.0,25599.0,351.0,3448.0,1758.0,1552705.0
1,삼성역,하차,10577,24621,4771,865503,401806,135809,46921.0,56844.0,7974.0,363.0,3087.0,1204.0,1559480.0
1,상계역,승차,4406,15009,7726,235061,114240,57034,49618.0,61561.0,12017.0,0.0,5.0,5.0,556682.0
1,상계역,하차,5821,12037,8066,42823,107195,219054,22431.0,66860.0,29926.0,0.0,4.0,5.0,514222.0
1,상도역,승차,1758,4283,1340,117063,86723,50397,26420.0,32720.0,5994.0,3.0,15.0,0.0,326716.0
