month,역명,영업업종,월임대료,점포수,평균 면적
1,연신내역,기타,965000.0,1,19.96
1,연신내역,식음료,1386900.0,1,12.0
1,연신내역,의약업,1875800.0,1,22.0
1,연신내역,패션잡화,2988698.75,4,28.69
1,연신내역,편의점,8734634.0,1,44.0
1,영등포구청역,공실,0.0,1,22.32
1,영등포구청역,공유오피스,5779441.0,1,313.4
1,영등포구청역,식음료,3860357.3333333335,6,23.991666666666664
1,영등포구청역,패션잡화,6206426.0,1,26.01
1,영등포구청역,편의점,2496000.0,1,34.33
1,영등포시장역,편의점,3100500.0,1,37.3
1,오금역,편의점,2691000.0,1,27.38
1,오목교역,공실,0.0,1,118.84
1,오목교역,기타,3743913.0434782607,23,52.72652173913043
1,오목교역,식음료,0.0,11,28.077272727272724
1,오목교역,패션잡화,0.0,9,48.56222222222223
1,오목교역,편의점,5577000.0,1,43.51
1,오목교역,플라워,0.0,1,7.61
1,옥수역,기타,13500000.0,1,555.0
1,옥수역,패션잡화,3640000.0,1,11.6
1,옥수역,편의점,2010000.0,1,18.9
1,옥수역,화장품,4736736.0,1,41.64
1,온수역,사무실,795000.0,1,35.0
1,온수역,식음료,2029650.0,2,27.25
1,온수역,패션잡화,3200000.0,1,23.1
1,온수역,편의점,6966960.0,1,29.81
1,올림픽공원역,편의점,2437500.0,1,37.2
1,왕십리역,공실,0.0,3,50.17666666666668
1,왕십리역,공유오피스,2556015.0,1,204.0
1,왕십리역,기타,3779559.0,1,30.06
1,왕십리역,사무실,567800.0,1,50.0
1,왕십리역,식음료,3271457.25,4,31.7775
1,왕십리역,패션잡화,2762987.4285714286,7,42.45
1,왕십리역,편의점,2808000.0,1,40.0
1,왕십리역,플라워,566257.0,1,10.3
1,왕십리역,화장품,3968788.0,1,50.84
1,용마산역,공실,0.0,5,50.0
