역명,month,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,meanshift_label
왕십리역,4,7089,9520,6362,0
용마산역,4,2492,2267,1138,0
용마산역,4,1132,2954,2248,0
우장산역,4,7339,19884,8163,26
우장산역,4,9218,11357,11183,26
월곡역,4,5235,6237,2090,0
월곡역,4,2603,6717,4113,0
을지로3가역,4,1943,5829,3674,0
을지로3가역,4,1955,5174,2936,0
을지로4가역,4,748,4045,2163,0
을지로4가역,4,2606,2623,1569,0
을지로입구역,4,2051,8759,5618,0
을지로입구역,4,2333,7660,5431,0
이수역,4,2062,4212,3454,0
이수역,4,1275,5207,3396,0
일원역,4,5008,13614,2596,0
일원역,4,6662,5124,7593,0
잠실새내역,4,12074,11701,8846,26
잠실새내역,4,3876,17574,11105,0
잠실역,4,12976,52736,52069,28
잠실역,4,29199,59815,32781,16
장지역,4,4085,8313,4172,0
장지역,4,3084,6213,4656,0
종각역,4,705,6617,5738,0
종각역,4,3001,6699,2221,0
종로3가역,4,1373,8710,5882,0
종로3가역,4,2832,9158,3112,0
종합운동장역,4,2267,15360,15818,1
종합운동장역,4,10109,21591,6830,26
중화역,4,3397,4787,2120,0
중화역,4,2411,4176,3958,0
증산역,4,3367,3437,1317,0
증산역,4,874,3901,3990,0
창동역,4,8705,11266,6257,0
창동역,4,3787,11904,10193,0
청담역,4,1362,3995,3075,0
청담역,4,3039,4402,1784,0
총신대입구역,4,3129,6328,3697,0
총신대입구역,4,2460,6417,4519,0
충무로역,4,2478,9773,7780,0
충무로역,4,6523,8959,4281,0
충정로역,4,2031,4791,1883,0
충정로역,4,3351,3156,2681,0
태릉입구역,4,3660,7324,3546,0
태릉입구역,4,3422,6840,5131,0
학동역,4,1110,4068,3880,0
학동역,4,2674,4495,1895,0
한양대역,4,1003,16460,5612,0
한양대역,4,15636,8930,2028,21
합정역,4,5684,14197,14197,1
합정역,4,4316,20392,11893,1
행당역,4,3990,3822,1566,0
행당역,4,1025,4884,2772,0
홍제역,4,6591,6986,2754,0
홍제역,4,2254,7769,6153,0
회현역,4,842,5003,2952,0
회현역,4,1469,6398,1290,0
효창공원앞역,4,1270,3620,1154,0
효창공원앞역,4,2257,2385,1501,0
강남역,5,5203,27938,32163,2
강남역,5,12340,32723,18306,9
강동구청역,5,3531,5123,1492,0
강동구청역,5,1470,4976,3569,0
강동역,5,4387,4784,2252,0
강동역,5,1514,6205,4867,0
건대입구역,5,7205,29296,32337,4
건대입구역,5,8138,42255,23054,12
공덕역,5,4652,12988,5528,0
공덕역,5,8423,9051,5978,0
광명사거리역,5,5411,9535,4004,0
광명사거리역,5,2695,6702,7756,0
광흥창역,5,3689,5061,2063,0
광흥창역,5,2399,5074,3616,0
교대역,5,5275,14569,12657,1
교대역,5,8586,14246,9779,26
군자역,5,5921,6961,4814,0
군자역,5,1730,9116,6381,0
굽은다리역,5,3645,4874,3350,0
굽은다리역,5,1133,6517,4404,0
낙성대역,5,5278,13508,5984,0
낙성대역,5,6819,7993,7995,0
남구로역,5,3160,2471,1396,0
남구로역,5,825,3377,2462,0
노원역,5,19285,42807,39244,19
노원역,5,20761,60989,30789,18
논현역,5,872,2783,4837,0
논현역,5,1422,5013,2961,0
단대오거리역,5,7040,7257,3129,0
단대오거리역,5,1724,7743,6128,0
당산역,5,3898,7367,2979,0
당산역,5,4596,6287,6220,0
대림역,5,7835,8106,3905,0
대림역,5,2252,10238,7846,0
대청역,5,4574,12168,3993,0
대청역,5,5985,6254,6978,0
대흥역,5,2262,10003,6688,0
대흥역,5,7738,8000,3613,0
독바위역,5,2020,1669,545,0
독바위역,5,232,1651,1781,0
동대문역,5,3029,14329,5671,0
동대문역,5,3542,15848,3493,0
동대입구역,5,1282,6994,5263,0
동대입구역,5,5782,8089,2307,0
동묘앞역,5,2098,20818,5935,0
동묘앞역,5,6666,22733,3004,26
디지털미디어시티역,5,5880,5134,1698,0
디지털미디어시티역,5,1330,7817,7431,0
마들역,5,4728,7699,2692,0
마들역,5,2689,5826,4508,0
마포구청역,5,4760,5443,2743,0
마포구청역,5,2056,5829,4290,0
면목역,5,5330,7020,2098,0
면목역,5,2974,5751,5055,0
미아사거리역,5,10462,20751,6833,26
미아사거리역,5,7059,15750,13559,1
미아역,5,5250,14137,7661,0
미아역,5,11112,7381,5474,21
봉화산역,5,3611,3153,1051,0
